Date,High,Low,Open,Close,Volume,Adj Close
2021-04-14,14033.6298828125,13839.0400390625,14004.080078125,13857.83984375,4102380000,13857.83984375
2021-04-15,14049.1298828125,13970.419921875,13983.23046875,14038.759765625,4382620000,14038.759765625
2021-04-16,14062.5,13977.0498046875,14059.1103515625,14052.33984375,4414640000,14052.33984375
2021-04-19,14041.7900390625,13842.5703125,13984.580078125,13914.76953125,4349340000,13914.76953125
2021-04-20,13927.669921875,13698.669921875,13894.4599609375,13786.26953125,4229410000,13786.26953125
2021-04-21,13951.349609375,13706.8603515625,13745.76953125,13950.2197265625,3967090000,13950.2197265625
2021-04-22,14015.8701171875,13771.0400390625,13952.5703125,13818.41015625,4397030000,13818.41015625
2021-04-23,14062.740234375,13856.830078125,13861.3701171875,14016.8095703125,4332500000,14016.8095703125
2021-04-26,14154.0302734375,14019.5,14052.3798828125,14138.7802734375,4479480000,14138.7802734375
2021-04-27,14171.240234375,14064.2802734375,14170.91015625,14090.2197265625,4665430000,14090.2197265625
2021-04-28,14133.650390625,14034.7001953125,14082.7802734375,14051.0302734375,4532050000,14051.0302734375
2021-04-29,14211.5703125,13952.7998046875,14204.509765625,14082.5498046875,4854340000,14082.5498046875
2021-04-30,14084.759765625,13941.6298828125,13970.73046875,13962.6796875,4762770000,13962.6796875
2021-05-03,14042.1201171875,13881.509765625,14031.76953125,13895.1201171875,4718850000,13895.1201171875
2021-05-04,13795.5703125,13485.58984375,13774.509765625,13633.5,5852850000,13633.5
2021-05-05,13753.0498046875,13553.9296875,13731.1298828125,13582.419921875,4517100000,13582.419921875
2021-05-06,13635.73046875,13439.3896484375,13557.830078125,13632.83984375,5000710000,13632.83984375
2021-05-07,13828.6201171875,13690.75,13723.08984375,13752.240234375,4376800000,13752.240234375
2021-05-10,13687.9296875,13401.740234375,13687.58984375,13401.8603515625,4795690000,13401.8603515625
2021-05-11,13423.3095703125,13107.669921875,13115.849609375,13389.4296875,4719720000,13389.4296875
2021-05-12,13288.6103515625,13002.5400390625,13215.490234375,13031.6796875,4730740000,13031.6796875
2021-05-13,13247.8701171875,13007.240234375,13150.9404296875,13124.990234375,4681530000,13124.990234375
2021-05-14,13460.8798828125,13242.9697265625,13255.650390625,13429.98046875,4008110000,13429.98046875
2021-05-17,13399.169921875,13265.400390625,13368.7998046875,13379.0498046875,3980630000,13379.0498046875
2021-05-18,13485.33984375,13299.9296875,13416.900390625,13303.6396484375,4283680000,13303.6396484375
2021-05-19,13304.6103515625,13072.23046875,13078.1904296875,13299.740234375,4314980000,13299.740234375
2021-05-20,13563.51953125,13355.7099609375,13356.6298828125,13535.740234375,3972730000,13535.740234375
2021-05-21,13616.580078125,13463.259765625,13616.1904296875,13470.990234375,3704590000,13470.990234375
2021-05-24,13708.849609375,13551.009765625,13557.2099609375,13661.169921875,3490650000,13661.169921875
2021-05-25,13751.1396484375,13631.7998046875,13721.5400390625,13657.169921875,4084480000,13657.169921875
2021-05-26,13750.16015625,13679.58984375,13693.9404296875,13738.0,4231140000,13738.0
2021-05-27,13776.51953125,13701.6298828125,13742.58984375,13736.2802734375,5057550000,13736.2802734375
2021-05-28,13820.8701171875,13747.6103515625,13792.0498046875,13748.740234375,4435220000,13748.740234375
2021-06-01,13836.169921875,13678.76953125,13829.0595703125,13736.48046875,4155670000,13736.48046875
2021-06-02,13775.8896484375,13689.740234375,13743.240234375,13756.330078125,5059810000,13756.330078125
2021-06-03,13684.1298828125,13548.9296875,13655.75,13614.509765625,5367460000,13614.509765625
2021-06-04,13826.8203125,13692.009765625,13697.25,13814.490234375,4341800000,13814.490234375
2021-06-07,13889.1103515625,13784.8896484375,13802.8203125,13881.7197265625,4602940000,13881.7197265625
2021-06-08,13981.7197265625,13831.98046875,13946.3203125,13924.91015625,5894140000,13924.91015625
2021-06-09,14003.5,13906.4501953125,13980.23046875,13911.75,5607720000,13911.75
2021-06-10,14031.1904296875,13904.400390625,13933.8798828125,14020.330078125,4889500000,14020.330078125
2021-06-11,14069.419921875,14006.58984375,14030.849609375,14069.419921875,4140190000,14069.419921875
2021-06-14,14175.4501953125,14056.669921875,14083.4697265625,14174.1396484375,4394380000,14174.1396484375
2021-06-15,14171.01953125,14052.16015625,14166.6396484375,14072.8603515625,4517770000,14072.8603515625
2021-06-16,14129.6904296875,13903.73046875,14085.5498046875,14039.6796875,4632480000,14039.6796875
2021-06-17,14196.2099609375,13998.9296875,13999.1298828125,14161.349609375,4526780000,14161.349609375
2021-06-18,14129.2197265625,14009.0400390625,14096.9296875,14030.3798828125,6105960000,14030.3798828125
2021-06-21,14150.7802734375,13960.0400390625,14047.419921875,14141.48046875,4523120000,14141.48046875
2021-06-22,14269.76953125,14121.0,14138.2900390625,14253.26953125,4405260000,14253.26953125
2021-06-23,14317.66015625,14246.2998046875,14263.3798828125,14271.73046875,4394600000,14271.73046875
2021-06-24,14414.4599609375,14333.7001953125,14357.26953125,14369.7099609375,4297280000,14369.7099609375
2021-06-25,14409.080078125,14337.650390625,14400.8095703125,14360.3896484375,7436800000,14360.3896484375
2021-06-28,14505.1904296875,14417.2001953125,14417.8095703125,14500.509765625,4235620000,14500.509765625
2021-06-29,14535.9697265625,14471.3798828125,14509.1904296875,14528.330078125,4842860000,14528.330078125
2021-06-30,14526.8095703125,14478.0595703125,14509.849609375,14503.9501953125,5264790000,14503.9501953125
2021-07-01,14533.5498046875,14439.400390625,14493.6904296875,14522.3798828125,4371620000,14522.3798828125
2021-07-02,14649.1103515625,14555.33984375,14582.98046875,14639.330078125,3731730000,14639.330078125
2021-07-06,14687.0,14529.7998046875,14661.5498046875,14663.6396484375,4464780000,14663.6396484375
2021-07-07,14755.330078125,14580.7900390625,14753.41015625,14665.0595703125,4582030000,14665.0595703125
2021-07-08,14610.0595703125,14371.58984375,14409.2001953125,14559.7802734375,4550600000,14559.7802734375
2021-07-09,14710.2001953125,14552.259765625,14578.4296875,14701.919921875,3809040000,14701.919921875
2021-07-12,14761.080078125,14672.6298828125,14743.8603515625,14733.240234375,3864500000,14733.240234375
2021-07-13,14803.6796875,14660.1904296875,14715.1298828125,14677.650390625,4553380000,14677.650390625
2021-07-14,14790.5498046875,14632.9501953125,14780.900390625,14644.9501953125,4461730000,14644.9501953125
2021-07-15,14650.3701171875,14451.7998046875,14635.7802734375,14543.1298828125,4493540000,14543.1298828125
2021-07-16,14623.01953125,14413.3203125,14597.509765625,14427.240234375,4048940000,14427.240234375
2021-07-19,14313.599609375,14178.66015625,14235.98046875,14274.98046875,4507040000,14274.98046875
2021-07-20,14555.75,14271.23046875,14330.4599609375,14498.8798828125,4618980000,14498.8798828125
2021-07-21,14633.1396484375,14498.650390625,14508.75,14631.9501953125,4075150000,14631.9501953125
2021-07-22,14694.1904296875,14617.8701171875,14652.7197265625,14684.599609375,3574560000,14684.599609375
2021-07-23,14846.0595703125,14698.76953125,14753.0595703125,14836.990234375,3959410000,14836.990234375
2021-07-26,14863.650390625,14790.490234375,14821.0302734375,14840.7099609375,4409960000,14840.7099609375
2021-07-27,14811.080078125,14503.759765625,14807.9501953125,14660.580078125,4300000000,14660.580078125
2021-07-28,14798.8798828125,14645.6298828125,14715.66015625,14762.580078125,4235390000,14762.580078125
2021-07-29,14833.740234375,14761.3798828125,14771.169921875,14778.259765625,3904590000,14778.259765625
2021-07-30,14728.7802734375,14615.849609375,14615.849609375,14672.6796875,3628750000,14672.6796875
2021-08-02,14770.41015625,14665.669921875,14758.599609375,14681.0703125,3738200000,14681.0703125
2021-08-03,14762.599609375,14584.08984375,14713.990234375,14761.2900390625,4117520000,14761.2900390625
2021-08-04,14812.3701171875,14734.1201171875,14747.2099609375,14780.5302734375,4319400000,14780.5302734375
2021-08-05,14896.4697265625,14776.0302734375,14794.080078125,14895.1201171875,4087320000,14895.1201171875
2021-08-06,14890.1796875,14788.58984375,14864.2197265625,14835.759765625,4159050000,14835.759765625
2021-08-09,14883.8095703125,14802.6904296875,14855.759765625,14860.1796875,4095760000,14860.1796875
2021-08-10,14894.6103515625,14754.48046875,14887.75,14788.08984375,3978790000,14788.08984375
2021-08-11,14842.5,14692.41015625,14834.3798828125,14765.1396484375,3980530000,14765.1396484375
2021-08-12,14824.3095703125,14698.9404296875,14751.3603515625,14816.259765625,4020260000,14816.259765625
2021-08-13,14850.6103515625,14797.2197265625,14825.0703125,14822.900390625,4038130000,14822.900390625
2021-08-16,14794.6796875,14610.01953125,14771.5302734375,14793.759765625,3953840000,14793.759765625
2021-08-17,14716.9501953125,14550.8798828125,14670.5595703125,14656.1796875,4151190000,14656.1796875
2021-08-18,14697.25,14516.2998046875,14636.240234375,14525.91015625,3814120000,14525.91015625
2021-08-19,14610.759765625,14423.16015625,14423.16015625,14541.7900390625,4172870000,14541.7900390625
